book_id,title,price_gbp,price_inr,rating,in_stock,category_id
4,Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,36.94,3897.1699999999996,2,1,1
5,Under the Tuscan Sun,37.33,3938.3149999999996,3,1,1
7,The Great Railway Bazaar,30.54,3221.97,1,1,1
9,The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),23.21,2448.655,1,1,1
10,Neither Here nor There: Travels in Europe,38.95,4109.225,3,1,1
11,"1,000 Places to See Before You Die",26.08,2751.4399999999996,5,1,1
22,Poisonous (Max Revere Novels #3),26.8,2827.4,3,1,2
24,Most Wanted,35.28,3722.04,3,1,2
27,The Widow,27.26,2875.9300000000003,2,1,2
29,What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,2676.5350000000003,5,1,2
31,Delivering the Truth (Quaker Midwife Mystery #1),20.89,2203.895,4,1,2
32,The Mysterious Affair at Styles (Hercule Poirot #1),24.8,2616.4,4,1,2
33,In the Woods (Dublin Murder Squad #1),38.38,4049.09,2,1,2
34,The Silkworm (Cormoran Strike #2),23.05,2431.775,5,1,2
37,Extreme Prey (Lucas Davenport #26),25.4,2679.7,3,1,2
38,Career of Evil (Cormoran Strike #3),24.72,2607.96,2,1,2
42,Blood Defense (Samantha Brinkman #1),20.3,2141.65,3,1,2
45,Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,3132.295,3,1,3
47,The House by the Lake,36.95,3898.2250000000004,1,1,3
48,Mrs. Houdini,30.25,3191.375,5,1,3
49,The Marriage of Opposites,28.08,2962.4399999999996,4,1,3
51,"Love, Lies and Spies",20.55,2168.025,2,1,3
52,A Paris Apartment,39.01,4115.554999999999,4,1,3
55,The Invention of Wings,37.34,3939.3700000000003,1,1,3
56,World Without End (The Pillars of the Earth #2),32.97,3478.335,4,1,3
57,The Passion of Dolssa,28.32,2987.76,5,1,3
58,Girl With a Pearl Earring,26.77,2824.235,1,1,3
59,Voyager (Outlander #3),21.07,2222.885,5,1,3
60,The Red Tent,35.66,3762.1299999999997,5,1,3
64,Between Shades of Gray,20.79,2193.345,5,1,3
66,The Secret Healer,34.56,3646.0800000000004,3,1,3
67,Starlark,25.83,2725.0649999999996,3,1,3
68,Lost Among the Living,27.7,2922.35,4,1,3
